pair_id,baseline_tfidf,gold_composite,paired_difference,ablation_no_sim,ablation_no_skills,ablation_no_title
1,0.145,0.4435,0.2984,0.3855,0.3435,0.2935
2,0.169,0.4734,0.3044,0.4058,0.3484,0.3234
3,0.2026,0.4895,0.2868,0.4084,0.3645,0.3395
4,0.1772,0.5402,0.363,0.4693,0.3735,0.3902
5,0.0923,0.276,0.1837,0.2391,0.276,0.126
6,0.1533,0.4134,0.26,0.352,0.33,0.2634
7,0.088,0.2789,0.1909,0.2437,0.2789,0.1289
8,0.4336,0.7536,0.32,0.5802,0.5036,0.6036
9,0.2106,0.4563,0.2457,0.3721,0.3563,0.3063
10,0.3665,0.7295,0.3629,0.5829,0.4795,0.5795
11,0.2655,0.5727,0.3072,0.4665,0.4061,0.4227
12,0.2763,0.574,0.2977,0.4635,0.4074,0.424
13,0.2316,0.499,0.2674,0.4064,0.374,0.349
14,0.2523,0.5404,0.288,0.4395,0.3904,0.3904
15,0.1844,0.4457,0.2613,0.372,0.3457,0.2957
16,0.2153,0.5048,0.2895,0.4186,0.3798,0.3548
17,0.2886,0.6422,0.3536,0.5267,0.4338,0.4922
18,0.2965,0.5627,0.2662,0.4441,0.4199,0.4127
19,0.1415,0.3668,0.2253,0.3102,0.3168,0.2168
20,0.088,0.2838,0.1958,0.2486,0.2838,0.1338
21,0.3536,0.625,0.2713,0.4835,0.4464,0.475
22,0.169,0.4866,0.3176,0.419,0.3616,0.3366
23,0.1339,0.3695,0.2356,0.316,0.3195,0.2195
24,0.3423,0.6159,0.2736,0.479,0.4373,0.4659
25,0.2106,0.4925,0.2819,0.4083,0.3675,0.3425
26,0.2635,0.5452,0.2817,0.4398,0.3952,0.3952
27,0.2414,0.5131,0.2716,0.4165,0.3881,0.3631
28,0.2635,0.5971,0.3336,0.4917,0.4096,0.4471
29,0.1471,0.3644,0.2173,0.3056,0.3144,0.2144
30,0.2448,0.5466,0.3018,0.4486,0.3966,0.3966
31,0.169,0.483,0.314,0.4154,0.358,0.333
32,0.2316,0.5073,0.2757,0.4147,0.3823,0.3573
33,0.2559,0.5327,0.2768,0.4304,0.3899,0.3827
34,0.2834,0.5538,0.2704,0.4404,0.411,0.4038
35,0.3081,0.6111,0.303,0.4879,0.4326,0.4611
36,0.18,0.3734,0.1934,0.3014,0.3317,0.2234
37,0.3373,0.6258,0.2885,0.4909,0.4472,0.4758
38,0.1274,0.4117,0.2844,0.3608,0.3284,0.2617
39,0.1926,0.5689,0.3763,0.4918,0.3814,0.4189
40,0.2448,0.5398,0.295,0.4419,0.3898,0.3898
41,0.2807,0.701,0.4203,0.5887,0.451,0.551
42,0.1909,0.4302,0.2393,0.3538,0.3468,0.2802
43,0.2526,0.5913,0.3386,0.4902,0.4038,0.4413
44,0.3212,0.6371,0.3159,0.5087,0.4371,0.4871
45,0.3088,0.5772,0.2684,0.4536,0.4272,0.4272
46,0.2965,0.5533,0.2568,0.4347,0.4105,0.4033
47,0.2635,0.5734,0.3099,0.468,0.4067,0.4234
48,0.3843,0.7401,0.3558,0.5864,0.4901,0.5901
49,0.3536,0.6745,0.3208,0.533,0.4602,0.5245
50,0.212,0.473,0.261,0.3882,0.3659,0.323
